timestamp (ms),pH,total dissolved solids (TDS) (ppm),temperature (Â°C),turbidity (NTU,water type,Safe/Unsafe
9124,7,87,26,4,Tap,Safe
10124,7,87,26,3,Tap,Safe
11124,7,87,26,3,Tap,Safe
12124,7,85,26,2,Tap,Safe
13124,7,87,26,3,Tap,Safe
14124,7,87,26,2,Tap,Safe
15124,7,87,26,2,Tap,Safe
16124,7,84,26,2,Tap,Safe
17124,7,87,26,5,Tap,Safe
18124,7,87,26,3,Tap,Safe
19124,7,85,26,3,Tap,Safe
20124,7,89,26,3,Tap,Safe
21124,7,87,26,4,Tap,Safe
22124,7,87,26,5,Tap,Safe
23127,7,85,26,3,Tap,Safe
24124,7,89,26,4,Tap,Safe
25124,7,85,26,4,Tap,Safe
26124,7,85,26,5,Tap,Safe
27124,7,85,26,5,Tap,Safe
28124,7,85,26,5,Tap,Safe
29124,7,87,26,5,Tap,Safe
30124,7,87,26,5,Tap,Safe
31124,7,87,26,4,Tap,Safe
32124,7,84,26,4,Tap,Safe
33124,7,89,26,4,Tap,Safe
34124,7,87,26,3,Tap,Safe
35124,7,87,26,4,Tap,Safe
36124,7,84,26,3,Tap,Safe
37124,7,87,26,5,Tap,Safe
38127,7,89,26,3,Tap,Safe
39124,7,87,26,5,Tap,Safe
40124,7,85,26,4,Tap,Safe
41124,7,87,26,4,Tap,Safe
42124,7,87,26,5,Tap,Safe
43124,7,89,26,3,Tap,Safe
44124,7,89,26,5,Tap,Safe
45124,7,85,26,3,Tap,Safe
46124,7,89,26,5,Tap,Safe
47124,7,85,26,3,Tap,Safe
48124,7,89,26,4,Tap,Safe
49124,7,87,26,5,Tap,Safe
50124,7,85,26,5,Tap,Safe
51124,7,87,26,5,Tap,Safe
52124,7,89,26,6,Tap,Safe
53127,7,87,26,5,Tap,Safe
54124,7,89,26,3,Tap,Safe
55124,7,84,26,6,Tap,Safe
56124,7,87,26,3,Tap,Safe
57124,7,87,26,3,Tap,Safe
58124,7,87,26,3,Tap,Safe
59124,7,87,26,3,Tap,Safe
60124,7,87,26,3,Tap,Safe
61124,7,89,26,4,Tap,Safe
62124,7,85,26,4,Tap,Safe
63124,7,87,26,3,Tap,Safe
64124,7,90,26,3,Tap,Safe
65124,7,89,26,3,Tap,Safe
66124,7,87,26,4,Tap,Safe
67124,7,85,26,3,Tap,Safe
68124,7,89,26,5,Tap,Safe
69124,7,89,26,4,Tap,Safe
70124,7,90,26,3,Tap,Safe
71124,7,87,26,4,Tap,Safe
72124,7,90,26,3,Tap,Safe
73124,7,87,26,5,Tap,Safe
74124,7,90,26,4,Tap,Safe
75124,7,89,26,4,Tap,Safe
76124,7,85,26,4,Tap,Safe
77124,7,87,26,5,Tap,Safe
78124,7,85,26,4,Tap,Safe
79124,7,87,26,3,Tap,Safe
80124,7,87,26,3,Tap,Safe
81124,7,87,26,2,Tap,Safe
82124,7,87,26,4,Tap,Safe
83124,7,87,26,3,Tap,Safe
84127,7,87,26,5,Tap,Safe
85124,7,87,26,3,Tap,Safe
86124,7,87,26,3,Tap,Safe
87124,7,85,26,3,Tap,Safe
88124,7,87,26,4,Tap,Safe
89124,7,85,26,3,Tap,Safe
90124,7,87,26,3,Tap,Safe
91124,7,87,26,3,Tap,Safe
92124,7,89,26,3,Tap,Safe
93124,7,89,26,3,Tap,Safe
94124,7,89,26,5,Tap,Safe
95124,7,87,26,4,Tap,Safe
96124,7,89,26,4,Tap,Safe
97124,7,89,26,4,Tap,Safe
98124,7,87,26,4,Tap,Safe
99127,7,89,26,4,Tap,Safe
100124,7,87,26,3,Tap,Safe
101124,7,87,26,4,Tap,Safe
102124,7,90,26,3,Tap,Safe
103124,7,85,26,1,Tap,Safe
104124,7,89,26,2,Tap,Safe
105124,7,87,26,2,Tap,Safe
106124,7,87,26,3,Tap,Safe
107124,7,85,26,2,Tap,Safe
108124,7,85,26,1,Tap,Safe
109124,7,87,26,1,Tap,Safe
110124,7,85,26,3,Tap,Safe
111124,7,85,26,3,Tap,Safe
112124,7,87,26,3,Tap,Safe
113124,7,87,26,2,Tap,Safe
114127,7,87,26,4,Tap,Safe
115124,7,90,26,3,Tap,Safe
116124,7,85,26,3,Tap,Safe
117124,7,90,26,4,Tap,Safe
118124,7,87,26,5,Tap,Safe
119124,7,85,26,4,Tap,Safe
120124,7,87,26,3,Tap,Safe
121124,7,85,26,3,Tap,Safe
122124,7,87,26,3,Tap,Safe
123124,7,85,26,3,Tap,Safe
124124,7,85,26,3,Tap,Safe
125124,7,87,26,1,Tap,Safe
126124,7,87,26,1,Tap,Safe
127124,7,90,26,1,Tap,Safe
128124,7,87,26,2,Tap,Safe
129127,7,84,26,3,Tap,Safe